127.0.0.1, 2013-11-18 07:59:19, GET, /, HTTP/1.1, 303, 0.000884
127.0.0.1, 2013-11-18 07:59:20, GET, /welcome/default/index, HTTP/1.1, 200, 1.086993
127.0.0.1, 2013-11-18 07:59:20, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000284
127.0.0.1, 2013-11-18 07:59:20, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000280
127.0.0.1, 2013-11-18 07:59:20, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000273
127.0.0.1, 2013-11-18 07:59:20, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000358
127.0.0.1, 2013-11-18 07:59:20, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000276
127.0.0.1, 2013-11-18 07:59:20, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000435
127.0.0.1, 2013-11-18 07:59:20, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000265
127.0.0.1, 2013-11-18 07:59:20, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000185
127.0.0.1, 2013-11-18 07:59:20, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000259
127.0.0.1, 2013-11-18 07:59:20, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000181
127.0.0.1, 2013-11-18 07:59:20, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000285
127.0.0.1, 2013-11-18 07:59:20, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000211
127.0.0.1, 2013-11-18 07:59:20, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000325
127.0.0.1, 2013-11-18 07:59:20, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000711
127.0.0.1, 2013-11-18 07:59:20, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000352
127.0.0.1, 2013-11-18 07:59:20, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000353
127.0.0.1, 2013-11-18 07:59:26, GET, /admin/default/index, HTTP/1.1, 200, 0.302682
127.0.0.1, 2013-11-18 07:59:26, GET, /admin/static/_2.7.3/js/jquery.js, HTTP/1.1, 200, 0.000297
127.0.0.1, 2013-11-18 07:59:26, GET, /admin/static/_2.7.3/css/calendar.css, HTTP/1.1, 200, 0.000377
127.0.0.1, 2013-11-18 07:59:26, GET, /admin/static/_2.7.3/js/calendar.js, HTTP/1.1, 200, 0.000283
127.0.0.1, 2013-11-18 07:59:26, GET, /admin/static/_2.7.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000253
127.0.0.1, 2013-11-18 07:59:26, GET, /admin/static/_2.7.3/js/web2py.js, HTTP/1.1, 200, 0.000246
127.0.0.1, 2013-11-18 07:59:27, GET, /admin/static/_2.7.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000258
127.0.0.1, 2013-11-18 07:59:27, GET, /admin/static/_2.7.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000255
127.0.0.1, 2013-11-18 07:59:27, GET, /admin/static/_2.7.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000263
127.0.0.1, 2013-11-18 07:59:27, GET, /admin/static/_2.7.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000264
127.0.0.1, 2013-11-18 07:59:27, GET, /admin/static/_2.7.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.000258
127.0.0.1, 2013-11-18 07:59:27, GET, /admin/static/_2.7.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000278
127.0.0.1, 2013-11-18 07:59:27, GET, /admin/static/_2.7.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000256
127.0.0.1, 2013-11-18 07:59:27, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000275
127.0.0.1, 2013-11-18 07:59:27, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000274
127.0.0.1, 2013-11-18 07:59:29, POST, /admin/default/index, HTTP/1.1, 200, 0.060464
127.0.0.1, 2013-11-18 07:59:33, POST, /admin/default/index, HTTP/1.1, 303, 0.050124
127.0.0.1, 2013-11-18 07:59:33, GET, /admin/default/site, HTTP/1.1, 200, 0.028190
127.0.0.1, 2013-11-18 07:59:33, GET, /admin/static/_2.7.3/images/folder_locked.png, HTTP/1.1, 200, 0.000284
127.0.0.1, 2013-11-18 07:59:33, GET, /admin/static/_2.7.3/images/folder.png, HTTP/1.1, 200, 0.000288
127.0.0.1, 2013-11-18 07:59:33, GET, /admin/static/_2.7.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000494
127.0.0.1, 2013-11-18 07:59:33, POST, /admin/default/check_version, HTTP/1.1, 200, 0.456346
127.0.0.1, 2013-11-18 07:59:39, GET, /qastack/default/index, HTTP/1.1, 303, 1.906988
127.0.0.1, 2013-11-18 07:59:39, GET, /qastack/default/runonce, HTTP/1.1, 200, 0.017402
127.0.0.1, 2013-11-18 07:59:39, GET, /qastack/static/css/qastack_stylesheet.css, HTTP/1.1, 200, 0.000296
